科类,年份,分数,最低位次,最高位次,同分人数
文科,2023,350,119367,119718,352
文科,2023,349,119719,120104,386
文科,2023,348,120105,120500,396
文科,2023,347,120501,120872,372
文科,2023,346,120873,121235,363
文科,2023,345,121236,121648,413
文科,2023,344,121649,122038,390
文科,2023,343,122039,122423,385
文科,2023,342,122424,122781,358
文科,2023,341,122782,123111,330
文科,2023,340,123112,123426,315
文科,2023,339,123427,123767,341
文科,2023,338,123768,124074,307
文科,2023,337,124075,124405,331
文科,2023,336,124406,124747,342
文科,2023,335,124748,125075,328
文科,2023,334,125076,125369,294
文科,2023,333,125370,125684,315
文科,2023,332,125685,125948,264
文科,2023,331,125949,126226,278
文科,2023,330,126227,126508,282
文科,2023,329,126509,126763,255
文科,2023,328,126764,127039,276
文科,2023,327,127040,127282,243
文科,2023,326,127283,127579,297
文科,2023,325,127580,127839,260
文科,2023,324,127840,128068,229
文科,2023,323,128069,128295,227
文科,2023,322,128296,128530,235
文科,2023,321,128531,128747,217
文科,2023,320,128748,128942,195
文科,2023,319,128943,129156,214
文科,2023,318,129157,129349,193
文科,2023,317,129350,129537,188
文科,2023,316,129538,129745,208
文科,2023,315,129746,129912,167
文科,2023,314,129913,130060,148
文科,2023,313,130061,130237,177
文科,2023,312,130238,130406,169
文科,2023,311,130407,130548,142
文科,2023,310,130549,130705,157
文科,2023,309,130706,130861,156
文科,2023,308,130862,130986,125
文科,2023,307,130987,131114,128
文科,2023,306,131115,131250,136
文科,2023,305,131251,131373,123
文科,2023,304,131374,131497,124
文科,2023,303,131498,131619,122
文科,2023,302,131620,131731,112
文科,2023,301,131732,131833,102
文科,2023,300,131834,131933,100
文科,2023,299,131934,132040,107
文科,2023,298,132041,132152,112
文科,2023,297,132153,132243,91
文科,2023,296,132244,132348,105
文科,2023,295,132349,132440,92
文科,2023,294,132441,132514,74
文科,2023,293,132515,132591,77
文科,2023,292,132592,132656,65
文科,2023,291,132657,132717,61
文科,2023,290,132718,132778,61
文科,2023,289,132779,132856,78
文科,2023,288,132857,132916,60
文科,2023,287,132917,132977,61
文科,2023,286,132978,133041,64
文科,2023,285,133042,133102,61
文科,2023,284,133103,133176,74
文科,2023,283,133177,133228,52
文科,2023,282,133229,133273,45
文科,2023,281,133274,133330,57
文科,2023,280,133331,133372,42
文科,2023,279,133373,133431,59
文科,2023,278,133432,133480,49
文科,2023,277,133481,133522,42
文科,2023,276,133523,133563,41
文科,2023,275,133564,133615,52
文科,2023,274,133616,133654,39
文科,2023,273,133655,133686,32
文科,2023,272,133687,133722,36
文科,2023,271,133723,133768,46
文科,2023,270,133769,133799,31
文科,2023,269,133800,133829,30
文科,2023,268,133830,133867,38
文科,2023,267,133868,133895,28
文科,2023,266,133896,133921,26
文科,2023,265,133922,133946,25
文科,2023,264,133947,133987,41
文科,2023,263,133988,134020,33
文科,2023,262,134021,134052,32
文科,2023,261,134053,134080,28
文科,2023,260,134081,134107,27
文科,2023,259,134108,134137,30
文科,2023,258,134138,134162,25
文科,2023,257,134163,134191,29
文科,2023,256,134192,134214,23
文科,2023,255,134215,134231,17
文科,2023,254,134232,134246,15
文科,2023,253,134247,134270,24
文科,2023,252,134271,134291,21
文科,2023,251,134292,134308,17
文科,2023,250,134309,134329,21
文科,2023,249,134330,134342,13
文科,2023,248,134343,134362,20
文科,2023,247,134363,134374,12
